ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
38,133,110,62,48,10.21197608,56.16101782,8/1/2014 16:30
34,136,106,66,43,10.21197608,56.16101782,8/1/2014 16:35
32,132,111,65,43,10.21197608,56.16101782,8/1/2014 16:40
28,133,114,67,48,10.21197608,56.16101782,8/1/2014 16:45
25,137,110,65,44,10.21197608,56.16101782,8/1/2014 16:50
25,137,113,60,44,10.21197608,56.16101782,8/1/2014 16:55
26,136,113,56,48,10.21197608,56.16101782,8/1/2014 17:00
27,140,112,59,47,10.21197608,56.16101782,8/1/2014 17:05
28,145,110,57,48,10.21197608,56.16101782,8/1/2014 17:10
32,147,106,55,43,10.21197608,56.16101782,8/1/2014 17:15
27,145,101,52,46,10.21197608,56.16101782,8/1/2014 17:20
23,142,105,48,41,10.21197608,56.16101782,8/1/2014 17:25
26,141,102,51,41,10.21197608,56.16101782,8/1/2014 17:30
24,137,107,53,39,10.21197608,56.16101782,8/1/2014 17:35
23,142,104,50,44,10.21197608,56.16101782,8/1/2014 17:40
27,142,99,50,39,10.21197608,56.16101782,8/1/2014 17:45
30,141,96,50,43,10.21197608,56.16101782,8/1/2014 17:50
31,140,101,47,45,10.21197608,56.16101782,8/1/2014 17:55
29,140,97,46,48,10.21197608,56.16101782,8/1/2014 18:00
25,136,97,49,48,10.21197608,56.16101782,8/1/2014 18:05
26,140,101,47,50,10.21197608,56.16101782,8/1/2014 18:10
22,144,105,44,51,10.21197608,56.16101782,8/1/2014 18:15
27,142,103,49,49,10.21197608,56.16101782,8/1/2014 18:20
32,146,108,45,45,10.21197608,56.16101782,8/1/2014 18:25
36,141,105,41,42,10.21197608,56.16101782,8/1/2014 18:30
33,146,108,42,46,10.21197608,56.16101782,8/1/2014 18:35
34,151,109,45,48,10.21197608,56.16101782,8/1/2014 18:40
34,152,108,45,51,10.21197608,56.16101782,8/1/2014 18:45
32,157,111,43,48,10.21197608,56.16101782,8/1/2014 18:50
30,153,116,48,49,10.21197608,56.16101782,8/1/2014 18:55
27,153,114,52,47,10.21197608,56.16101782,8/1/2014 19:00
30,157,119,53,48,10.21197608,56.16101782,8/1/2014 19:05
32,162,115,50,47,10.21197608,56.16101782,8/1/2014 19:10
29,164,119,51,47,10.21197608,56.16101782,8/1/2014 19:15
30,166,116,48,42,10.21197608,56.16101782,8/1/2014 19:20
29,168,119,48,41,10.21197608,56.16101782,8/1/2014 19:25
26,172,116,53,43,10.21197608,56.16101782,8/1/2014 19:30
31,171,112,49,38,10.21197608,56.16101782,8/1/2014 19:35
30,171,115,52,39,10.21197608,56.16101782,8/1/2014 19:40
33,170,115,55,38,10.21197608,56.16101782,8/1/2014 19:45
35,174,113,58,36,10.21197608,56.16101782,8/1/2014 19:50
40,172,115,63,34,10.21197608,56.16101782,8/1/2014 19:55
40,177,120,65,32,10.21197608,56.16101782,8/1/2014 20:00
41,182,125,61,29,10.21197608,56.16101782,8/1/2014 20:05
40,177,124,62,30,10.21197608,56.16101782,8/1/2014 20:10
40,176,124,58,27,10.21197608,56.16101782,8/1/2014 20:15
35,178,129,60,26,10.21197608,56.16101782,8/1/2014 20:20
38,174,126,56,27,10.21197608,56.16101782,8/1/2014 20:25
33,178,131,57,23,10.21197608,56.16101782,8/1/2014 20:30
34,182,128,57,28,10.21197608,56.16101782,8/1/2014 20:35
30,184,127,52,30,10.21197608,56.16101782,8/1/2014 20:40
29,183,129,52,26,10.21197608,56.16101782,8/1/2014 20:45
26,180,125,54,29,10.21197608,56.16101782,8/1/2014 20:50
30,176,125,54,26,10.21197608,56.16101782,8/1/2014 20:55
25,181,120,55,27,10.21197608,56.16101782,8/1/2014 21:00
26,184,122,55,31,10.21197608,56.16101782,8/1/2014 21:05
29,182,118,58,29,10.21197608,56.16101782,8/1/2014 21:10
31,187,117,53,29,10.21197608,56.16101782,8/1/2014 21:15
32,186,117,57,32,10.21197608,56.16101782,8/1/2014 21:20
32,188,114,61,33,10.21197608,56.16101782,8/1/2014 21:25
30,192,114,57,31,10.21197608,56.16101782,8/1/2014 21:30
35,194,119,62,31,10.21197608,56.16101782,8/1/2014 21:35
30,195,122,59,27,10.21197608,56.16101782,8/1/2014 21:40
34,194,127,56,31,10.21197608,56.16101782,8/1/2014 21:45
34,192,125,54,30,10.21197608,56.16101782,8/1/2014 21:50
31,192,123,50,32,10.21197608,56.16101782,8/1/2014 21:55
33,197,122,48,37,10.21197608,56.16101782,8/1/2014 22:00
28,202,127,49,33,10.21197608,56.16101782,8/1/2014 22:05
28,198,129,48,29,10.21197608,56.16101782,8/1/2014 22:10
25,198,129,52,29,10.21197608,56.16101782,8/1/2014 22:15
28,201,126,52,26,10.21197608,56.16101782,8/1/2014 22:20
28,196,126,48,25,10.21197608,56.16101782,8/1/2014 22:25
27,193,121,49,25,10.21197608,56.16101782,8/1/2014 22:30
23,194,125,48,25,10.21197608,56.16101782,8/1/2014 22:35
18,194,126,53,22,10.21197608,56.16101782,8/1/2014 22:40
25,195,125,57,20,10.21197608,56.16101782,8/1/2014 22:45
21,193,130,58,24,10.21197608,56.16101782,8/1/2014 22:50
24,195,135,62,28,10.21197608,56.16101782,8/1/2014 22:55
20,192,130,59,23,10.21197608,56.16101782,8/1/2014 23:00
25,187,127,64,27,10.21197608,56.16101782,8/1/2014 23:05
27,182,126,59,24,10.21197608,56.16101782,8/1/2014 23:10
23,185,129,63,22,10.21197608,56.16101782,8/1/2014 23:15
28,188,124,58,21,10.21197608,56.16101782,8/1/2014 23:20
26,192,119,55,17,10.21197608,56.16101782,8/1/2014 23:25
28,195,124,53,24,10.21197608,56.16101782,8/1/2014 23:30
32,196,126,57,29,10.21197608,56.16101782,8/1/2014 23:35
34,196,128,56,24,10.21197608,56.16101782,8/1/2014 23:40
33,200,123,51,24,10.21197608,56.16101782,8/1/2014 23:45
38,197,119,52,21,10.21197608,56.16101782,8/1/2014 23:50
38,192,117,55,17,10.21197608,56.16101782,8/1/2014 23:55
42,187,114,50,27,10.21197608,56.16101782,8/2/2014 0:00
43,183,115,47,22,10.21197608,56.16101782,8/2/2014 0:05
42,178,112,52,25,10.21197608,56.16101782,8/2/2014 0:10
38,178,108,53,28,10.21197608,56.16101782,8/2/2014 0:15
39,180,106,55,23,10.21197608,56.16101782,8/2/2014 0:20
41,178,108,57,21,10.21197608,56.16101782,8/2/2014 0:25
37,180,103,58,16,10.21197608,56.16101782,8/2/2014 0:30
41,179,99,60,18,10.21197608,56.16101782,8/2/2014 0:35
40,175,97,55,21,10.21197608,56.16101782,8/2/2014 0:40
40,178,99,59,17,10.21197608,56.16101782,8/2/2014 0:45
39,177,102,56,25,10.21197608,56.16101782,8/2/2014 0:50
35,180,101,54,25,10.21197608,56.16101782,8/2/2014 0:55
37,176,97,51,20,10.21197608,56.16101782,8/2/2014 1:00
35,173,97,52,25,10.21197608,56.16101782,8/2/2014 1:05
35,174,99,47,24,10.21197608,56.16101782,8/2/2014 1:10
31,176,103,50,20,10.21197608,56.16101782,8/2/2014 1:15
32,178,106,53,18,10.21197608,56.16101782,8/2/2014 1:20
34,183,111,55,22,10.21197608,56.16101782,8/2/2014 1:25
33,179,115,51,26,10.21197608,56.16101782,8/2/2014 1:30
32,181,120,54,22,10.21197608,56.16101782,8/2/2014 1:35
34,186,116,55,20,10.21197608,56.16101782,8/2/2014 1:40
31,191,115,53,15,10.21197608,56.16101782,8/2/2014 1:45
32,191,110,54,17,10.21197608,56.16101782,8/2/2014 1:50
34,196,114,56,25,10.21197608,56.16101782,8/2/2014 1:55
35,198,119,61,23,10.21197608,56.16101782,8/2/2014 2:00
39,197,122,56,19,10.21197608,56.16101782,8/2/2014 2:05
42,198,125,54,26,10.21197608,56.16101782,8/2/2014 2:10
43,203,130,53,22,10.21197608,56.16101782,8/2/2014 2:15
48,199,133,55,20,10.21197608,56.16101782,8/2/2014 2:20
45,199,134,50,15,10.21197608,56.16101782,8/2/2014 2:25
44,201,138,53,21,10.21197608,56.16101782,8/2/2014 2:30
41,200,142,51,20,10.21197608,56.16101782,8/2/2014 2:35
45,195,143,49,22,10.21197608,56.16101782,8/2/2014 2:40
47,199,147,50,21,10.21197608,56.16101782,8/2/2014 2:45
50,200,148,45,25,10.21197608,56.16101782,8/2/2014 2:50
54,199,150,49,20,10.21197608,56.16101782,8/2/2014 2:55
50,197,153,48,15,10.21197608,56.16101782,8/2/2014 3:00
49,198,152,51,24,10.21197608,56.16101782,8/2/2014 3:05
47,201,156,49,26,10.21197608,56.16101782,8/2/2014 3:10
42,201,158,48,28,10.21197608,56.16101782,8/2/2014 3:15
43,197,157,48,27,10.21197608,56.16101782,8/2/2014 3:20
44,193,156,51,24,10.21197608,56.16101782,8/2/2014 3:25
44,193,157,46,23,10.21197608,56.16101782,8/2/2014 3:30
47,190,160,51,23,10.21197608,56.16101782,8/2/2014 3:35
43,195,156,50,18,10.21197608,56.16101782,8/2/2014 3:40
46,192,156,52,20,10.21197608,56.16101782,8/2/2014 3:45
44,188,158,56,17,10.21197608,56.16101782,8/2/2014 3:50
46,188,163,56,24,10.21197608,56.16101782,8/2/2014 3:55
42,190,160,51,20,10.21197608,56.16101782,8/2/2014 4:00
42,186,160,50,22,10.21197608,56.16101782,8/2/2014 4:05
45,183,159,51,26,10.21197608,56.16101782,8/2/2014 4:10
41,184,160,54,25,10.21197608,56.16101782,8/2/2014 4:15
44,182,157,57,23,10.21197608,56.16101782,8/2/2014 4:20
47,184,159,53,21,10.21197608,56.16101782,8/2/2014 4:25
46,182,154,56,18,10.21197608,56.16101782,8/2/2014 4:30
46,178,158,56,21,10.21197608,56.16101782,8/2/2014 4:35
47,176,153,57,20,10.21197608,56.16101782,8/2/2014 4:40
46,171,156,53,16,10.21197608,56.16101782,8/2/2014 4:45
50,168,151,54,18,10.21197608,56.16101782,8/2/2014 4:50
45,170,153,54,23,10.21197608,56.16101782,8/2/2014 4:55
41,175,150,50,19,10.21197608,56.16101782,8/2/2014 5:00
39,174,151,50,20,10.21197608,56.16101782,8/2/2014 5:05
39,175,149,54,22,10.21197608,56.16101782,8/2/2014 5:10
34,174,146,50,18,10.21197608,56.16101782,8/2/2014 5:15
35,169,146,49,27,10.21197608,56.16101782,8/2/2014 5:20
30,173,143,47,32,10.21197608,56.16101782,8/2/2014 5:25
33,176,144,50,28,10.21197608,56.16101782,8/2/2014 5:30
33,173,144,55,27,10.21197608,56.16101782,8/2/2014 5:35
37,173,141,54,24,10.21197608,56.16101782,8/2/2014 5:40
40,178,143,49,27,10.21197608,56.16101782,8/2/2014 5:45
40,178,140,51,28,10.21197608,56.16101782,8/2/2014 5:50
42,182,142,48,31,10.21197608,56.16101782,8/2/2014 5:55
43,181,138,50,28,10.21197608,56.16101782,8/2/2014 6:00
40,183,138,48,28,10.21197608,56.16101782,8/2/2014 6:05
39,178,142,46,24,10.21197608,56.16101782,8/2/2014 6:10
40,175,140,41,24,10.21197608,56.16101782,8/2/2014 6:15
44,178,144,46,21,10.21197608,56.16101782,8/2/2014 6:20
45,181,144,49,20,10.21197608,56.16101782,8/2/2014 6:25
40,184,141,52,22,10.21197608,56.16101782,8/2/2014 6:30
39,186,145,57,27,10.21197608,56.16101782,8/2/2014 6:35
36,187,141,55,25,10.21197608,56.16101782,8/2/2014 6:40
40,189,145,55,30,10.21197608,56.16101782,8/2/2014 6:45
38,186,143,52,29,10.21197608,56.16101782,8/2/2014 6:50
42,187,144,55,27,10.21197608,56.16101782,8/2/2014 6:55
40,187,144,58,31,10.21197608,56.16101782,8/2/2014 7:00
35,191,142,59,27,10.21197608,56.16101782,8/2/2014 7:05
39,196,138,59,23,10.21197608,56.16101782,8/2/2014 7:10
36,197,135,55,21,10.21197608,56.16101782,8/2/2014 7:15
41,198,135,59,21,10.21197608,56.16101782,8/2/2014 7:20
46,201,140,62,16,10.21197608,56.16101782,8/2/2014 7:25
44,204,137,63,26,10.21197608,56.16101782,8/2/2014 7:30
47,207,141,62,31,10.21197608,56.16101782,8/2/2014 7:35
49,211,139,67,31,10.21197608,56.16101782,8/2/2014 7:40
49,205,139,62,32,10.21197608,56.16101782,8/2/2014 7:45
51,207,136,60,33,10.21197608,56.16101782,8/2/2014 7:50
52,211,134,62,29,10.21197608,56.16101782,8/2/2014 7:55
55,210,130,57,27,10.21197608,56.16101782,8/2/2014 8:00
53,213,131,54,32,10.21197608,56.16101782,8/2/2014 8:05
49,206,134,56,36,10.21197608,56.16101782,8/2/2014 8:10
47,207,137,53,39,10.21197608,56.16101782,8/2/2014 8:15
52,210,132,52,44,10.21197608,56.16101782,8/2/2014 8:20
52,207,127,56,42,10.21197608,56.16101782,8/2/2014 8:25
49,212,127,58,46,10.21197608,56.16101782,8/2/2014 8:30
52,207,125,63,48,10.21197608,56.16101782,8/2/2014 8:35
54,204,122,64,46,10.21197608,56.16101782,8/2/2014 8:40
51,205,127,63,49,10.21197608,56.16101782,8/2/2014 8:45
50,210,132,62,52,10.21197608,56.16101782,8/2/2014 8:50
55,213,137,57,57,10.21197608,56.16101782,8/2/2014 8:55
54,211,142,59,54,10.21197608,56.16101782,8/2/2014 9:00
55,201,142,63,56,10.21197608,56.16101782,8/2/2014 9:05
55,197,145,63,54,10.21197608,56.16101782,8/2/2014 9:10
50,202,146,59,50,10.21197608,56.16101782,8/2/2014 9:15
45,203,141,60,53,10.21197608,56.16101782,8/2/2014 9:20
40,203,144,62,54,10.21197608,56.16101782,8/2/2014 9:25
36,206,140,67,50,10.21197608,56.16101782,8/2/2014 9:30
38,201,139,62,51,10.21197608,56.16101782,8/2/2014 9:35
43,197,134,63,46,10.21197608,56.16101782,8/2/2014 9:40
44,192,136,65,44,10.21197608,56.16101782,8/2/2014 9:45
40,194,132,65,46,10.21197608,56.16101782,8/2/2014 9:50
42,198,133,65,48,10.21197608,56.16101782,8/2/2014 9:55
47,203,130,65,50,10.21197608,56.16101782,8/2/2014 10:00
51,199,134,70,52,10.21197608,56.16101782,8/2/2014 10:05
50,195,136,71,54,10.21197608,56.16101782,8/2/2014 10:10
52,200,138,68,52,10.21197608,56.16101782,8/2/2014 10:15
47,195,140,70,55,10.21197608,56.16101782,8/2/2014 10:20
49,192,141,65,53,10.21197608,56.16101782,8/2/2014 10:25
54,194,140,61,52,10.21197608,56.16101782,8/2/2014 10:30
55,196,141,57,52,10.21197608,56.16101782,8/2/2014 10:35
50,193,140,59,56,10.21197608,56.16101782,8/2/2014 10:40
53,189,135,59,55,10.21197608,56.16101782,8/2/2014 10:45
55,189,134,61,57,10.21197608,56.16101782,8/2/2014 10:50
51,187,134,63,53,10.21197608,56.16101782,8/2/2014 10:55
48,184,136,66,58,10.21197608,56.16101782,8/2/2014 11:00
